iter	Logloss
0	0.5911009971
1	0.5274525706
2	0.4803639441
3	0.4582737179
4	0.4379049973
5	0.4281189997
6	0.421513247
7	0.4134508939
8	0.4090250637
9	0.4052633907
10	0.3990688799
11	0.3950137183
12	0.3923856988
13	0.3895969691
14	0.3872166046
15	0.3849038218
16	0.3830321743
17	0.3803715975
18	0.3798970924
19	0.3786582674
20	0.3777679988
21	0.3774006557
22	0.3766312844
23	0.3763974707
24	0.3756715295
25	0.3748966206
26	0.3742045936
27	0.3735159653
28	0.3728771418
29	0.3720126356
30	0.3706536847
31	0.3704506145
32	0.369537371
33	0.3693794737
34	0.3691980696
35	0.3685594496
36	0.3684528142
37	0.3677807222
38	0.366714361
39	0.3659344537
40	0.3657091062
41	0.365559954
42	0.3652095516
43	0.3651400709
44	0.3649657394
45	0.3635848319
46	0.3634479226
47	0.3625382082
48	0.3619870428
49	0.3615661453
50	0.3608690933
51	0.3608467103
52	0.3607619386
53	0.3598109396
54	0.3597784523
55	0.3592387041
56	0.3590038363
57	0.3588640041
58	0.3585985373
59	0.3578957148
60	0.3573593314
61	0.3572679359
62	0.3572062005
63	0.3567979143
64	0.3563480783
65	0.3561494724
66	0.3561409504
67	0.3556520718
68	0.3552311261
69	0.355037009
70	0.3542882628
71	0.3539271104
72	0.3535927552
73	0.3529509727
74	0.3526604084
75	0.3511865624
76	0.3505207825
77	0.3501681307
78	0.3500273091
79	0.3496702511
80	0.3482323321
81	0.3478653918
82	0.3464777902
83	0.345492469
84	0.3451730385
85	0.344563747
86	0.3433617401
87	0.3421973058
88	0.3413346164
89	0.3408295789
90	0.3401972378
91	0.3395895778
92	0.3392379471
93	0.3379494666
94	0.3376357266
95	0.3372175501
96	0.3359990733
97	0.3356126622
98	0.3346797247
99	0.3342435068
100	0.3339736936
101	0.3337577178
102	0.3324955144
103	0.3308638021
104	0.329550455
105	0.3287451523
106	0.3278833664
107	0.3273666409
108	0.3269443225
109	0.3262909292
110	0.3252842928
111	0.3248938761
112	0.3242306191
113	0.3237617146
114	0.3227355817
115	0.3223338841
116	0.3214858806
117	0.3212747117
118	0.3204891556
119	0.3198861886
120	0.3195763251
121	0.3195183423
122	0.3178211231
123	0.3175030242
124	0.3163464397
125	0.3160563558
126	0.3153364559
127	0.3150272479
128	0.314665226
129	0.3140339261
130	0.3139856341
131	0.3135006205
132	0.3128997032
133	0.3119815599
134	0.3108290798
135	0.3107411938
136	0.3103328249
137	0.3097805883
138	0.3095326227
139	0.3093089622
140	0.3087295115
141	0.3085147145
142	0.3077856453
143	0.3068217658
144	0.3065086739
145	0.3059892812
146	0.3052195342
147	0.3049059115
148	0.3045063229
149	0.3038316697
150	0.303351208
151	0.303079738
152	0.3027236848
153	0.3022864959
154	0.3018727758
155	0.3015228796
156	0.3009679707
157	0.299998917
158	0.2993980089
159	0.2986468608
160	0.2982824887
161	0.2976980565
162	0.2975083653
163	0.2972867275
164	0.2966231836
165	0.2964046396
166	0.2958473491
167	0.2950660279
168	0.2945765609
169	0.2942045018
170	0.2938344453
171	0.2934727466
172	0.2933605619
173	0.2932711883
174	0.2925019541
175	0.2922930787
176	0.2918503137
177	0.2914746208
178	0.291203026
179	0.2905950638
180	0.2897673239
181	0.2896110209
182	0.2890892741
183	0.2885967359
184	0.2883421396
185	0.2881678765
186	0.2870507562
187	0.2867249864
188	0.2861316278
189	0.285816262
190	0.2856687237
191	0.285156239
192	0.2849878199
193	0.2847332514
194	0.284660867
195	0.2844357454
196	0.2840969846
197	0.283538318
198	0.2829225158
199	0.2823274317
