iter	Passed	Remaining
0	5	5177
1	10	5158
2	15	5084
3	20	5102
4	25	5097
5	30	5082
6	35	5088
7	41	5085
8	46	5082
9	51	5078
10	56	5082
11	61	5075
12	66	5069
13	71	5056
14	77	5066
15	82	5077
16	87	5066
17	92	5058
18	97	5055
19	103	5076
20	109	5081
21	115	5122
22	120	5115
23	125	5102
24	130	5092
25	135	5085
26	140	5074
27	145	5067
28	151	5058
29	156	5053
30	161	5051
31	166	5044
32	171	5036
33	177	5040
34	182	5036
35	187	5029
36	193	5026
37	198	5022
38	203	5019
39	208	5012
40	214	5005
41	219	4999
42	224	4994
43	229	4989
44	235	4987
45	240	4982
46	245	4978
47	250	4974
48	256	4971
49	261	4970
50	267	4972
51	272	4968
52	278	4970
53	283	4968
54	289	4966
55	294	4964
56	300	4965
57	306	4977
58	312	4979
59	318	4996
60	324	4990
61	329	4984
62	334	4978
63	340	4982
64	346	4977
65	351	4972
66	357	4971
67	362	4971
68	368	4965
69	373	4964
70	379	4960
71	384	4956
72	389	4949
73	395	4944
74	401	4946
75	406	4941
76	411	4935
77	417	4931
78	422	4927
79	428	4922
80	433	4917
81	438	4911
82	444	4905
83	449	4899
84	454	4894
85	460	4889
86	465	4883
87	470	4878
88	476	4874
89	481	4868
90	488	4875
91	493	4869
92	498	4865
93	504	4860
94	509	4854
95	514	4849
96	520	4844
97	525	4839
98	531	4835
99	536	4829
100	542	4824
101	547	4818
102	552	4814
103	558	4810
104	563	4804
105	569	4799
106	574	4793
107	579	4787
108	585	4782
109	590	4777
110	596	4775
111	602	4777
112	610	4793
113	616	4791
114	622	4790
115	628	4788
116	634	4784
117	639	4780
118	645	4779
119	651	4776
120	657	4779
121	663	4776
122	669	4774
123	675	4772
124	681	4768
125	688	4772
126	693	4767
127	699	4765
128	705	4766
129	711	4764
130	718	4763
131	723	4757
132	729	4752
133	734	4749
134	740	4745
135	745	4738
136	751	4731
137	756	4726
138	762	4724
139	768	4720
140	774	4718
141	780	4714
142	786	4711
143	792	4708
144	797	4704
145	803	4700
146	809	4694
147	814	4690
148	820	4683
149	825	4677
150	830	4670
151	836	4666
152	842	4661
153	847	4654
154	853	4651
155	858	4643
156	864	4639
157	870	4639
158	876	4633
159	881	4630
160	887	4626
161	893	4623
162	899	4619
163	905	4613
164	910	4606
165	915	4600
166	920	4593
167	926	4588
168	931	4581
169	937	4575
170	942	4570
171	948	4564
172	953	4559
173	959	4556
174	967	4559
175	973	4556
176	978	4550
177	984	4544
178	989	4538
179	994	4532
180	1000	4525
181	1006	4521
182	1012	4518
183	1017	4514
184	1023	4510
185	1029	4506
186	1035	4501
187	1041	4498
188	1047	4494
189	1053	4489
190	1058	4485
191	1064	4478
192	1070	4474
193	1076	4473
194	1082	4467
195	1087	4461
196	1093	4457
197	1098	4450
198	1104	4445
199	1109	4438
200	1115	4433
201	1120	4426
202	1125	4420
203	1131	4416
204	1137	4409
205	1142	4403
206	1148	4398
207	1153	4393
208	1159	4386
209	1164	4380
210	1170	4375
211	1176	4371
212	1181	4365
213	1188	4365
214	1194	4363
215	1200	4358
216	1206	4353
217	1211	4347
218	1217	4340
219	1223	4336
220	1229	4332
221	1234	4325
222	1240	4320
223	1245	4314
224	1250	4308
225	1256	4302
226	1261	4297
227	1268	4293
228	1273	4288
229	1279	4282
230	1285	4278
231	1290	4272
232	1295	4265
233	1301	4259
234	1306	4253
235	1312	4247
236	1317	4241
237	1322	4235
238	1328	4230
239	1334	4224
240	1339	4218
241	1346	4216
242	1351	4210
243	1356	4204
244	1362	4197
245	1367	4192
246	1373	4185
247	1378	4179
248	1383	4173
249	1389	4167
250	1394	4160
251	1399	4154
252	1405	4148
253	1410	4142
254	1415	4135
255	1421	4130
256	1426	4124
257	1432	4118
258	1437	4113
259	1443	4107
260	1448	4100
261	1453	4095
262	1459	4089
263	1464	4083
264	1470	4077
265	1475	4071
266	1480	4065
267	1486	4059
268	1491	4053
269	1496	4047
270	1502	4042
271	1508	4037
272	1514	4032
273	1519	4026
274	1524	4020
275	1530	4015
276	1536	4009
277	1542	4006
278	1548	4001
279	1553	3995
280	1559	3989
281	1564	3983
282	1569	3976
283	1574	3970
284	1580	3964
285	1585	3958
286	1590	3952
287	1596	3946
288	1602	3941
289	1607	3936
290	1612	3929
291	1618	3924
292	1624	3920
293	1629	3914
294	1635	3908
295	1641	3903
296	1646	3898
297	1654	3896
298	1660	3892
299	1665	3886
300	1671	3881
301	1676	3875
302	1682	3870
303	1688	3864
304	1693	3859
305	1699	3853
306	1704	3847
307	1709	3840
308	1714	3834
309	1720	3828
310	1725	3822
311	1730	3816
312	1736	3810
313	1741	3804
314	1746	3798
315	1752	3792
316	1757	3786
317	1763	3782
318	1769	3777
319	1775	3772
320	1781	3767
321	1786	3762
322	1792	3756
323	1797	3751
324	1803	3745
325	1808	3739
326	1814	3733
327	1819	3727
328	1825	3722
329	1830	3716
330	1835	3710
331	1841	3704
332	1847	3700
333	1852	3694
334	1857	3688
335	1863	3683
336	1869	3677
337	1874	3672
338	1880	3667
339	1886	3661
340	1891	3655
341	1897	3650
342	1902	3644
343	1907	3638
344	1913	3632
345	1918	3626
346	1923	3620
347	1929	3614
348	1934	3608
349	1940	3602
350	1945	3597
351	1950	3591
352	1956	3585
353	1961	3579
354	1966	3573
355	1972	3567
356	1977	3561
357	1982	3555
358	1988	3550
359	1993	3544
360	1999	3539
361	2005	3533
362	2010	3527
363	2015	3522
364	2021	3516
365	2026	3510
366	2031	3504
367	2037	3498
368	2042	3492
369	2047	3486
370	2053	3480
371	2058	3475
372	2064	3469
373	2069	3464
374	2074	3458
375	2080	3452
376	2085	3446
377	2090	3440
378	2096	3434
379	2101	3428
380	2106	3422
381	2112	3417
382	2117	3411
383	2124	3407
384	2129	3401
385	2134	3395
386	2140	3389
387	2145	3384
388	2150	3378
389	2156	3372
390	2161	3366
391	2167	3361
392	2172	3355
393	2178	3350
394	2183	3344
395	2189	3338
396	2194	3333
397	2200	3327
398	2206	3324
399	2212	3319
400	2218	3314
401	2224	3308
402	2229	3302
403	2234	3296
404	2240	3291
405	2246	3286
406	2251	3280
407	2257	3274
408	2262	3269
409	2267	3263
410	2274	3259
411	2280	3254
412	2287	3250
413	2292	3245
414	2298	3240
415	2304	3234
416	2309	3229
417	2315	3223
418	2320	3217
419	2325	3211
420	2331	3206
421	2336	3200
422	2341	3194
423	2347	3189
424	2353	3183
425	2358	3178
426	2363	3172
427	2369	3166
428	2374	3161
429	2380	3155
430	2385	3149
431	2391	3144
432	2396	3138
433	2402	3133
434	2408	3127
435	2413	3121
436	2418	3116
437	2424	3110
438	2430	3105
439	2435	3099
440	2440	3093
441	2446	3088
442	2451	3082
443	2457	3077
444	2464	3073
445	2469	3067
446	2475	3061
447	2480	3056
448	2486	3051
449	2492	3045
450	2498	3040
451	2503	3035
452	2509	3029
453	2514	3024
454	2520	3018
455	2525	3012
456	2530	3007
457	2536	3001
458	2541	2996
459	2547	2990
460	2553	2985
461	2558	2979
462	2563	2973
463	2569	2968
464	2574	2962
465	2580	2957
