year,ppdb_level,label
1832,0,0
1833,1,0
1833,0,0
1833,1,0
1836,1,1
1839,1,1
1841,1,0
1846,0,0
1851,1,0
1851,2,1
1853,2,1
1854,1,0
1854,2,1
1855,1,0
1855,1,1
1857,2,1
1857,2,1
1857,1,0
1857,1,0
1858,2,1
1858,2,1
1858,0,0
1860,2,1
1860,1,0
1861,2,1
1862,1,0
1862,1,0
1862,1,0
1862,1,0
1862,1,0
1863,1,1
1863,0,0
1864,1,0
1864,2,1
1866,0,0
1866,1,0
1867,1,0
1869,2,1
1869,0,0
1869,1,0
1870,0,0
1870,0,0
1870,1,0
1871,1,0
1871,1,0
1872,1,0
1873,1,0
1874,0,0
1874,1,1
1875,0,0
1875,1,0
1875,1,0
1876,1,0
1877,1,0
1877,1,1
1877,1,0
1877,1,0
1877,1,0
1877,1,0
1880,1,0
1880,0,0
1880,1,0
1881,1,0
1881,1,0
1882,0,0
1882,0,0
1883,1,0
1883,1,1
1883,1,0
1886,1,0
1886,1,0
1887,1,1
1887,1,0
1887,2,1
1888,1,1
1888,1,0
1889,1,0
1889,0,0
1889,1,0
1889,1,0
1891,1,1
1892,1,0
1892,1,0
1893,1,0
1893,1,0
1894,0,0
1895,1,0
1895,2,1
1895,1,0
1895,1,0
1896,1,0
1896,1,1
1896,2,1
1896,1,0
1898,2,1
1899,0,0
1901,2,1
1901,1,0
1901,0,0
1902,1,0
1902,2,1
1903,1,0
1903,1,0
1903,1,0
1903,1,0
1904,1,0
1904,2,1
1905,1,1
1905,1,0
1905,1,0
1906,0,0
1907,1,1
1908,1,0
1908,2,1
1908,1,1
1910,2,1
1910,2,1
1911,1,0
1912,1,0
1913,1,0
1914,2,1
1914,1,1
1914,1,1
1915,0,0
1920,1,1
1920,1,1
1920,0,0
1921,1,0
1922,0,0
1923,1,1
1924,2,1
1925,1,0
1926,2,1
1927,2,1
1927,2,1
1927,1,0
1928,1,0
1928,2,1
1928,1,0
1929,2,1
1930,0,0
1932,0,0
1933,1,0
1933,2,1
1934,0,0
1934,0,0
1935,1,0
1936,1,0
1937,0,0
1938,1,0
1940,0,0
1940,1,0
1940,0,0
1941,2,1
1941,1,0
1943,1,0
1943,1,0
1945,1,0
1945,0,0
1945,1,1
1945,1,0
1945,0,0
1945,0,0
1945,1,1
1945,0,0
1945,1,0
1945,1,0
1945,2,1
1945,2,1
1945,0,0
1945,1,0
1946,1,1
1946,1,0
1946,1,0
1946,0,0
1946,1,0
1946,0,0
1946,1,0
1946,1,0
1946,2,1
1946,1,0
1946,2,1
1946,0,0
1947,2,1
1947,2,1
1947,0,0
1947,1,1
1947,1,0
1947,1,0
1947,1,0
1947,1,0
1947,1,0
1947,1,1
1947,0,0
1948,2,1
1948,1,0
1948,1,0
1948,0,0
1948,0,0
1948,1,0
1948,1,1
1949,1,0
1949,0,0
1949,0,0
1950,1,0
1950,2,1
1950,0,0
1950,2,1
1950,1,0
1950,1,0
1950,2,1
1950,1,1
1950,1,0
1950,1,0
1950,2,1
1950,1,0
1950,1,1
1951,1,0
1951,0,0
1952,2,1
1952,1,0
1952,1,0
1952,1,0
1953,1,0
1953,1,1
1953,1,0
1953,2,1
1954,1,0
1954,2,1
1954,1,0
1954,0,0
1954,1,1
1954,1,0
1955,1,1
1955,1,1
1955,1,0
1955,0,0
1955,1,0
1955,2,1
1955,0,0
1955,1,1
1955,1,0
1955,1,0
1956,0,0
1956,2,1
1956,1,1
1956,2,1
1956,1,1
1956,1,0
1956,1,0
1956,2,1
1957,1,0
1957,0,0
1957,2,1
1957,1,1
1957,0,0
1958,1,0
1958,1,0
1958,1,0
1958,1,0
1958,0,0
1958,1,0
1958,2,1
1959,1,0
1959,2,1
1959,1,0
1959,2,1
1959,1,0
1959,1,0
1959,1,0
1959,1,1
1960,2,1
1960,0,0
1960,1,1
1960,1,0
1960,1,0
1960,1,1
1960,1,0
1960,2,1
1960,2,1
1961,1,1
1961,1,0
1961,0,0
1961,1,1
1961,1,0
1961,1,0
1961,1,0
1961,1,1
1961,1,0
1961,1,0
1961,1,0
1961,1,0
1961,1,1
1961,1,0
1961,1,0
1961,1,0
1961,1,1
1961,1,0
1961,1,0
1962,2,1
1962,1,0
1962,2,1
1962,1,0
1962,2,1
1962,1,1
1962,1,0
1962,1,0
1962,2,1
1962,2,1
1963,1,1
1963,0,0
1963,1,0
1963,0,0
1963,0,0
1963,2,1
1963,1,1
1963,1,0
